# timestamp tx ty tz qx qy qz qw 
0 -0.06423745304318673 -0.015181653197931215 0.017678880814088284 -0.001083492350411931 -0.011584814852699504 0.0004675165404286533 0.9999321974701283
1 -0.100266605263561 -0.04489985975375306 0.8756324954163167 0.00026879052443853246 -0.010174856386158294 0.0009165179853340704 0.9999477786584445
2 -0.18042237125035965 -0.06703587451442815 1.7328063953312622 0.000796218780009112 -0.021103877496376915 0.0006979698816602091 0.9997767276888958
3 -0.20748769236822595 -0.09758459709906672 2.5918238017506767 0.001232900350442092 -0.015450609621595224 0.001357505128893266 0.9998789505729541
4 -0.2550045334328299 -0.12509105467424825 3.4501644325240637 0.002976441065494132 -0.013992000020618026 0.0003590336067545947 0.9998976126728556
5 -0.29944428542449264 -0.15885774894725213 4.309034117031534 0.003720446162730058 -0.014774503114128895 -0.0002864114153178203 0.9998838884123405
6 -0.37828022752019186 -0.19264896930137182 5.166289923275021 0.0031367908720134384 -0.02054463926323715 -0.0018079794885364467 0.9997823810963753
7 -0.43097814823758246 -0.22145913896480662 6.02536406248748 0.004774955529097027 -0.02434591893319152 -0.0017986067575782535 0.99969057264972
8 -0.4523059027199826 -0.25539880696487527 6.884091753028862 0.004526359137320277 -0.0152968353066866 -0.0019548218380171455 0.9998708404459756
9 -0.4901919390531388 -0.28705146477895904 7.743452213254923 0.00545540787370575 -0.013995343540760442 -0.0026463011669947607 0.9998836762215099
10 -0.5364545926653532 -0.3113174599234079 8.60252093773498 0.006323020065471521 -0.017489747456472523 -0.0033401353009282248 0.9998214698871654
11 -0.5683807157699475 -0.3417459978555831 9.460457311969416 0.006416795525527455 -0.01375434257320871 -0.0036454647466769513 0.9998781692698082
12 -0.6042260549245929 -0.36900288444874346 10.319638804402052 0.007188554008060428 -0.0149424328890388 -0.003972132185388852 0.9998546247112785
13 -0.6507091245133875 -0.3953303710200635 11.177832087115561 0.006643513286142668 -0.016229291291170133 -0.0041029314045059485 0.99983780674132
14 -0.6817822995190874 -0.42521361353706255 12.03587504620996 0.007471697884388887 -0.014242521631760569 -0.004804407516743614 0.9998591110635069
15 -0.7224442708303036 -0.4515542152949214 12.89109725306797 0.0078730770482998 -0.01438401742640906 -0.0030874968544963685 0.9998607813409033
16 -0.7699362100275687 -0.48743187256518344 13.752383078577752 0.009481695894490537 -0.014014962108788132 -0.0034699689944820587 0.9998508076684395
17 -0.8236413188176993 -0.5176965068836943 14.620625303462731 0.009514012336915874 -0.016614573956999664 -0.0041096470210194936 0.999808256768688
18 -0.8789887018797158 -0.550895122429238 15.500129834888952 0.010579711189503762 -0.017445904150682163 -0.006443131587031827 0.9997710718933931
19 -0.9376530908454969 -0.5817011272229188 16.38953365226475 0.010293901027845349 -0.0192508093404446 -0.006854381569441268 0.9997381954265163
20 -0.9948395274515311 -0.6117463845539226 17.289279686136585 0.010739986760019285 -0.021593554341279585 -0.0064351226378758985 0.9996884316085388
21 -1.0423298828526222 -0.6435675155176503 18.19467107879727 0.01069830551368917 -0.022090080507293226 -0.006916391856341317 0.9996748161907484
22 -1.0926769922087176 -0.6687492939661763 19.106438094230562 0.008709980556930026 -0.022917122527712892 -0.006614443413681849 0.9996775434469232
23 -1.1435042342506967 -0.6993703067013007 20.018772791742162 0.009825536177094502 -0.022648380345234576 -0.00669596049082511 0.9996727833744777
24 -1.188709585644812 -0.735719366469581 20.935025842112182 0.010623798192471721 -0.019572855696470617 -0.005665902780972103 0.9997359330230795
