# timestamp tx ty tz qx qy qz qw 
0 -0.07568428665370147 -0.010908451859280332 0.01687459073528518 0.002227746061663579 -0.014005099586373197 0.000869223679144349 0.99989906429762
1 -0.12125094363269544 -0.03779691233580605 0.875250480933047 0.0036964665713352103 -0.013580795593674113 0.00020484766743284627 0.9999009231735726
2 -0.18731073142502902 -0.06051154215096313 1.7320295561685353 0.004133869322186209 -0.018957754229056316 0.000501566581321933 0.9998116138103129
3 -0.230546585202676 -0.09112233629926474 2.591093668184773 0.005329937480755315 -0.020941866399704336 0.00046448659364037136 0.9997663798359858
4 -0.2764985183464867 -0.12442593109167392 3.4495280716789924 0.006368243044323397 -0.020592122464206632 -0.0003455886804184967 0.9997676182700715
5 -0.320260392828505 -0.1504180942965902 4.308593728153728 0.004750608877356462 -0.02107059091918524 -0.0010435722001853223 0.9997661590945524
6 -0.379096864057544 -0.18647110717042956 5.1664056830145135 0.005946240528481703 -0.025148128296036007 -0.0009705269677378491 0.9996655800537441
7 -0.40282485040596433 -0.22335986423852888 6.026372834501471 0.007637010564994959 -0.017404284702624482 0.0003133076544691614 0.9998193180679866
8 -0.44673807514046915 -0.2504285440705789 6.884775383632603 0.008443913656489523 -0.018602655262763064 -0.000479173074915633 0.9997911841642237
9 -0.4946012041329942 -0.27420568228694253 7.743269619138387 0.007226999693887927 -0.020072501189920454 -0.00134015058803482 0.9997715084797159
10 -0.5269471954790997 -0.3028471395327783 8.602559121197718 0.007806536292052386 -0.01682924775379988 -0.0006143567838790445 0.9998277136471584
11 -0.551177792755698 -0.3362794315411847 9.460551673356031 0.009206909346771016 -0.012224197964035202 -0.0010554624746878722 0.9998823369793973
12 -0.5987050035283439 -0.36403743282125034 10.319933369545252 0.009117007662459693 -0.014477590986905825 -0.003074894622638236 0.9998489008613042
13 -0.6437292539760835 -0.3868865607159063 11.178161697227544 0.009570772606865858 -0.01663806823148925 -0.003457602262851403 0.9998097919023518
14 -0.6814969437289065 -0.4146022860953705 12.036078810231277 0.010900435202786014 -0.01603162034875008 -0.0030608109723564937 0.9998073809977475
15 -0.7243717477435185 -0.440956515080669 12.890202378745395 0.010724349174374065 -0.016563745790290962 -0.001223720199132372 0.9998045474836844
16 -0.7800007999180425 -0.4709133835092723 13.75145153636762 0.01098883519810331 -0.01980951823485951 -0.0033013640765196285 0.9997379304015257
17 -0.8281309140480173 -0.5028785876953026 14.61997484767808 0.012197810409709044 -0.019999057007994567 -0.004202337637247355 0.9997167556355061
18 -0.876287209172423 -0.5425764077159514 15.500511190419358 0.013388300172616142 -0.01914163815900962 -0.0053145503417729115 0.9997130121498581
19 -0.937969187719993 -0.57534551008915 16.389756694208877 0.013275694434653965 -0.019980188086795088 -0.007619174250106575 0.9996831979207415
20 -0.9936710980220816 -0.6031860044399528 17.28969858264678 0.011700754540203548 -0.02308834319407644 -0.005990249648654075 0.9996470065282491
